cnt,pdate,title,description,org_link,link
1,2024-02-15 09:54:00,"[의정언박싱] &quot;생성형 AI, 위협 보단 또다른 새로운 기회 제공&quot;","그래서 이 <b>인공지능</b>의 이 기술의 수준이 매우 높아졌고. 그다음에 이것 또한 세상을 바꿀 수 있는 기술이라고 생각하게 되면서, 스터디를 좀 했고요. 공부를 좀 했고, 그 챗GPT에 관련된 활용 방법을 공부하면서, 아! 이게... ",https://news.ifm.kr/news/articleView.html?idxno=380517,https://news.ifm.kr/news/articleView.html?idxno=380517
2,2024-02-15 09:54:00,"KT그룹, 전방위 디지털 혁신분야 전문 인재 채용","모집 분야는 △초거대 AI(<b>인공지능</b>) 기술개발 등 R&amp;D(연구개발)분야 △아키텍트, SW개발, IT 프로젝트 전략·설계 등 IT분야 △클라우드 네이티브(Cloud Native) 및 멀티·하이브리드 클라우드 전환을 위한 기술컨설팅분야... ",https://www.news2day.co.kr/article/20240215500042,https://www.news2day.co.kr/article/20240215500042
3,2024-02-15 09:54:00,"KT그룹, 전문 인재 확보로 디지털 패러다임 전환 본격 박차","모집 분야는 초거대 <b>인공지능</b>(AI) 기술개발 등 연구개발(R&amp;D)분야, 아키텍트, 소프트웨어(SW)개발, IT 프로젝트 전략·설계 등 IT분야, 클라우드 네이티브(Cloud Native) 및 멀티·하이브리드 Cloud 전환을 위한 기술컨설팅분야... ",http://www.greenpostkorea.co.kr/news/articleView.html?idxno=215685,http://www.greenpostkorea.co.kr/news/articleView.html?idxno=215685
4,2024-02-15 09:53:00,"KT, IT·컨설팅·콘텐츠 등 전 직급 공개 채용 진행","모집 분야는 초거대 <b>인공지능</b>(AI) 기술개발 등 연구개발(R&amp;D) 분야, 아키텍트·소프트웨어(SW)개발·정보통신(IT) 프로젝트 전략 및 설계 등 IT분야, 신사업 기획·개발 및 B2B·B2G사업 제안·컨설팅분야, 디지털 미디어... ",https://biz.chosun.com/it-science/ict/2024/02/15/VHJWX2TS4JEG5JGVDNTMSZY3G4/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000970499?sid=105
5,2024-02-15 09:53:00,[컨콜]카카오톡에 생성형 AI 결합 추진…경량 언어모델 기반,카카오가 카카오톡과 생성형 AI(<b>인공지능</b>) 결합을 추진한다. 홍은택 카카오 대표는 15일 2023년 4분기 실적발표 컨퍼런스 콜에서 &quot;최근 전 국민이 생활 속에서 AI를 경험할 수 있도록 카카오톡과 AI의 결합을 실험 중... ,http://news.mt.co.kr/mtview.php?no=2024021509505999386,https://n.news.naver.com/mnews/article/008/0004998952?sid=105
6,2024-02-15 09:53:00,"우리은행, 메가존클라우드와 ‘BaaS’ 사업확대 업무협약","▷금융 서비스 ▷클라우드 ▷<b>인공지능</b>(AI) 등 양사가 보유한 디지털 기술과 서비스를 활용해, 금융과 비금융의 경계를 허무는 디지털 기반 신사업을 함께 개척한다. 또 양사는 BaaS 생태계에 진입한 스타트업과... ",http://news.heraldcorp.com/view.php?ud=20240215050150,https://n.news.naver.com/mnews/article/016/0002266848?sid=101
7,2024-02-15 09:53:00,"[STOCK] 카카오, '어닝 서프라이즈' 7% 강세… 카카오페이 주가도 쭉",이어 &quot;카카오톡과 AI(<b>인공지능</b>)의 결합을 통해 긍정적인 이용자 경험을 확대할 것&quot;이라며 &quot;이를 바탕으로 광고 및 커머스 등 카카오의 핵심 비즈니스의 성장이 지속적으로 이어질 수 있도록 선순환 구조를 굳건히... ,https://www.moneys.co.kr/article/2024021509354785430,https://n.news.naver.com/mnews/article/417/0000981776?sid=101
8,2024-02-15 09:53:00,"에스피소프트, 코스닥 상장…&quot;생성형 AI 기반 사업 확대&quot;",에스피소프트는 이번 상장자금으로 MS의 생성형 <b>인공지능</b>(AI) 기반 소프트웨어 프로그램 ‘코파일럿’의 라이선스 사업 확장에 나설 계획이다. 코파일럿은 생성형 AI인 챗GPT가 적용된 MS 소프트웨어다.... ,http://www.edaily.co.kr/news/newspath.asp?newsid=02069686638790848,https://n.news.naver.com/mnews/article/018/0005673841?sid=101
9,2024-02-15 09:52:00,"문체부, 2026년까지 AI 외신 분석 플랫폼 구축…40억 투입",문화체육관광부가 <b>인공지능</b>을 기반으로 한 외신 빅데이터 분석 플랫폼을 구축한다. 문체부 내 <b>인공지능</b>을 활용한 최초의 의사결정 지원 시스템이자 <b>인공지능</b>을 활용한 업무 디지털 전환 최초 사례다. 문체부는... ,http://www.newsis.com/view/?id=NISX20240215_0002627257&cID=10701&pID=10700,https://n.news.naver.com/mnews/article/003/0012373828?sid=103
10,2024-02-15 09:52:00,"아모레퍼시픽 '톤워크', '비건 200+ 파운데이션' 출시…205가지 색상 제공","톤워크 맞춤 파운데이션은 <b>인공지능</b>(AI) 기반의 컬러 진단과 조색 알고리즘에 기반해 정밀하게 얼굴 색상을 측정하고, 그 결과를 바탕으로 로봇이 주문 즉시 제품을 조제해 주는 서비스다. 이번에 출시하는 '톤워크... ",https://www.youthdaily.co.kr/news/article.html?no=145611,https://www.youthdaily.co.kr/news/article.html?no=145611
11,2024-02-15 09:52:00,"한투운용 ACE 글로벌메타버스테크액티브, 메타버스 수익률 1위","'AI5'는 매그니피센트7(M7) 다음으로 주목받는 <b>인공지능</b>(AI) 관련 5개의 종목으로, M7 중 AI 산업과 연관된 엔비디아와 마이크로소프트 외에 △TSMC △브로드컴 △AMD를 포함해 일컫는다. ACE... ",http://www.thebigdata.co.kr/view.php?ud=2024021509134727162abca1943_23,http://www.thebigdata.co.kr/view.php?ud=2024021509134727162abca1943_23
12,2024-02-15 09:52:00,"라온피플 ‘AI바우처 지원사업' 공급기업에 선정, 소상공인에 최대 2억 지원",라온피플이 소상공인에게 <b>인공지능</b>(AI) 기술 및 솔루션을 지원한다. 라온피플은 2010년 설립된 <b>인공지능</b> 솔루션 기업으로 △AI머신비전 솔루션 △AI스마트비전 솔루션 △카메라 모듈검사 솔루션 등 사업을 하고... ,https://www.businesspost.co.kr/BP?command=article_view&num=342511,https://www.businesspost.co.kr/BP?command=article_view&num=342511
13,2024-02-15 09:51:00,"삼성전자, 대규모 경력 채용…이재용 강조한 '기술인재' 영입","모집 공고별로는 삼성리서치가 AI(<b>인공지능</b>) 관련 인재를 뽑는다. 앞서 삼성전자는 AI 관련 경력인재를 채용했다. 비스포크 가전에 생성형 AI 적용을 위해 DA사업부에서 '<b>지능</b>형 S/W 경력사원 채용'을 실시했고, 삼성이... ",https://www.nocutnews.co.kr/news/6095680,https://n.news.naver.com/mnews/article/079/0003863733?sid=101
14,2024-02-15 09:50:00,"2018년 수준으로 하락한 독일 경제, 위기 극복할까","소프트웨어(SW), <b>인공지능</b>, 바이오 등의 첨단 기술 분야에서도 미국이나 중국에 비해 열세다. 특히 인구 감소와 고령화로 인한 노동력 부족 및 생산성 저하가 발목을 잡는다. 이는 제조업이 경제의 약 27%를 차지하는... ",http://www.g-enews.com/ko-kr/news/article/news_all/2024021408262821737926aa152_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/2024021408262821737926aa152_1/article.html
15,2024-02-15 09:49:00,홍은택 카카오 &quot;자체 LLM '코GPT 2.0' 고도화 작업 중&quot;,카카오가 미래 성장 동력으로 주목받고 있는 자체개발 <b>인공지능</b>(AI) 대규모언어모델(LLM) ‘코GPT 2.0’가 현재 내부에서 테스트를 진행 중이라고 밝혔다. 홍은택 카카오 대표는 15일 컨퍼런스 콜에서 “카카오브레인 코GPT... ,https://zdnet.co.kr/view/?no=20240215092422,https://n.news.naver.com/mnews/article/092/0002321363?sid=105
