수송일자,역명,합계
2023-01-01,서울역,59067
2023-01-01,시청,17617
2023-01-01,종각,23810
2023-01-01,종로3가,23914
2023-01-01,종로5가,18896
2023-01-01,동대문,17482
2023-01-01,신설동,12974
2023-01-01,제기동,16786
2023-01-01,청량리(서울시립대입구),20494
2023-01-01,동묘앞,20244
2023-01-01,시청,12794
2023-01-01,을지로입구,33395
2023-01-01,을지로3가,18823
2023-01-01,을지로4가,7876
2023-01-01,동대문역사문화공원(DDP),18228
2023-01-01,신당,14434
2023-01-01,상왕십리,11879
2023-01-01,왕십리(성동구청),15044
2023-01-01,한양대,3993
2023-01-01,뚝섬,15274
2023-01-01,성수,26497
2023-01-01,건대입구,48089
2023-01-01,구의(광진구청),19619
2023-01-01,강변(동서울터미널),38809
2023-01-01,잠실나루,8899
2023-01-01,잠실(송파구청),80104
2023-01-01,잠실새내,19822
2023-01-01,종합운동장,16747
2023-01-01,삼성(무역센터),36311
2023-01-01,선릉,18216
2023-01-01,역삼,17758
2023-01-01,강남,49515
2023-01-01,교대(법원.검찰청),16502
2023-01-01,서초,22181
2023-01-01,방배,10958
2023-01-01,사당,36013
2023-01-01,낙성대(강감찬),26341
2023-01-01,서울대입구(관악구청),43504
2023-01-01,봉천,21445
2023-01-01,신림,60240
2023-01-01,신대방,26330
2023-01-01,구로디지털단지,41660
2023-01-01,대림(구로구청),28493
2023-01-01,신도림,41554
2023-01-01,문래,12657
2023-01-01,영등포구청,11910
2023-01-01,당산,14523
2023-01-01,합정,33873
2023-01-01,홍대입구,103026
2023-01-01,신촌,37838
2023-01-01,이대,13997
2023-01-01,아현,8961
2023-01-01,충정로(경기대입구),6261
2023-01-01,용답,3211
2023-01-01,신답,1315
2023-01-01,신설동,4942
2023-01-01,도림천,778
2023-01-01,양천구청,5743
2023-01-01,신정네거리,9017
2023-01-01,용두(동대문구청),2066
2023-01-01,지축,4934
2023-01-01,구파발,20025
2023-01-01,연신내,34058
2023-01-01,불광,17057
2023-01-01,녹번,11731
2023-01-01,홍제,15891
2023-01-01,무악재,3977
2023-01-01,독립문,7857
2023-01-01,경복궁(정부서울청사),24675
2023-01-01,안국,24227
2023-01-01,종로3가,7460
2023-01-01,을지로3가,7014
2023-01-01,동대입구,10219
2023-01-01,약수,11938
2023-01-01,금호,6955
2023-01-01,옥수,8824
2023-01-01,압구정,21532
2023-01-01,신사,19535
2023-01-01,잠원,3791
2023-01-01,고속터미널,65624
